segment,object_code,object_name,country,parameter,date,value,source_file
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-13,27.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-14,28.2,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-15,27.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-16,27.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-17,28.2,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-18,27.2,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-19,26.9,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-20,27.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-21,27.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-22,27.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-23,29.1,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-24,29.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-25,25.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-26,28.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-27,27.7,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-28,27.7,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-29,25.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-30,26.4,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Uzbekistan,discharge,2022-08-31,27.6,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-01,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-02,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-03,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-04,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-05,3.0,август 2022.xlsx
Toktogul–BahriTojik,BNK,Большой Наманганский канал,Kyrgyzstan,discharge,2022-08-06,3.0,август 2022.xlsx
